Name,Symbol,Industry,SubIndustry,SandP,Dow,Country,Region
Ennis Inc.,EBF,Industrials,Business Support Services,NO,NO,United States,United States
Centrais Eletricas Brasileiras S-A,EBR,Utilities,Alternative Electricity,NO,NO,Brazil,Latin America
Emergent Biosolutions Inc.,EBS,Health Care,Biotechnology,NO,NO,United States,United States
Ecopetrol S.A.,EC,Oil and Gas,Integrated Oil and Gas,NO,NO,Columbia,Latin America
EnCana Corp.,ECA,Oil and Gas,Exploration and Production,NO,NO,Canada,Canada
Ecolab Inc.,ECL,Basic Materials,Specialty Chemicals,YES,NO,United States,United States
Consolidated Edison Inc.,ED,Utilities,Conventional Electricity,YES,NO,United States,United States
Empire District Electric Co.,EDE,Utilities,Conventional Electricity,NO,NO,United States,United States
Empresa Distribuidora y Comercializadora Nort,EDN,Utilities,Conventional Electricity,NO,NO,Argentina,Latin America
Education Realty Trust Inc.,EDR,Financials,Residential Real Estate Investment Trusts,NO,NO,United States,United States
New Oriental Education & Technology Group Inc,EDU,Consumer Services,Specialized Consumer Services,NO,NO,China,Asia-Pacific
El Paso Electric Co.,EE,Utilities,Conventional Electricity,NO,NO,United States,United States
Equifax Inc.,EFX,Financials,Specialty Finance,YES,NO,United States,United States
Energen Corp.,EGN,Oil and Gas,Exploration and Production,NO,NO,United States,United States
Eldorado Gold Corp.,EGO,Basic Materials,Gold Mining,NO,NO,Canada,Canada
EastGroup Properties Inc.,EGP,Financials,Industrial and Office Real Estate Investment Trusts,NO,NO,United States,United States
Vaalco Energy Inc.,EGY,Oil and Gas,Exploration and Production,NO,NO,United States,United States
Employers Holdings Inc.,EIG,Financials,Life Insurance,NO,NO,United States,United States
Edison International,EIX,Utilities,Conventional Electricity,YES,NO,United States,United States
E-House (China) Holdings Ltd.,EJ,Financials,Real Estate Services,NO,NO,China,Asia-Pacific
Eastman Kodak Co.,EK,Consumer Goods,Recreational Products,YES,NO,United States,United States
Estee Lauder Cos. Inc.,EL,Consumer Goods,Personal Products,YES,NO,United States,United States
Elan Corp. PLC,ELN,Health Care,Pharmaceuticals,NO,NO,Ireland,Europe
Equity Lifestyle Properties Inc.,ELS,Financials,Residential Real Estate Investment Trusts,NO,NO,United States,United States
Elster Group SE,ELT,Industrials,undefined,NO,NO,Germany,Europe
Emulex Corp.,ELX,Technology,Telecommunications Equipment,NO,NO,United States,United States
Callaway Golf Co.,ELY,Consumer Goods,Recreational Products,NO,NO,United States,United States
EMC Corp.,EMC,Technology,Computer Hardware,YES,NO,United States,United States
EMCOR Group Inc.,EME,Industrials,Heavy Construction,NO,NO,United States,United States
Eastman Chemical Co.,EMN,Basic Materials,Commodity Chemicals,YES,NO,United States,United States
Emerson Electric Co.,EMR,Industrials,Electronic Equipment,YES,NO,United States,United States
Enbridge Inc.,ENB,Oil and Gas,Pipelines,NO,NO,Canada,Canada
Endeavour International Corp.,END,Oil and Gas,undefined,NO,NO,United States,United States
Endurance Specialty Holdings Ltd.,ENH,Financials,Reinsurance,NO,NO,United States,United States
Enersis S.A.,ENI,Utilities,Conventional Electricity,NO,NO,Chile,Latin America
Reed Elsevier N.V.,ENL,Consumer Services,Publishing,NO,NO,Netherlands,Europe
Energizer Holdings Inc.,ENR,Consumer Goods,Nondurable Household Products,NO,NO,United States,United States
EnerSys Inc.,ENS,Industrials,Electrical Components and Equipment,NO,NO,United States,United States
Envestnet Inc.,ENV,Technology,undefined,NO,NO,United States,United States
Enzo Biochem Inc.,ENZ,Health Care,Biotechnology,NO,NO,United States,United States
Empresa Nacional de Electricidad S.A.,EOC,Utilities,Alternative Electricity,NO,NO,Chile,Latin America
EOG Resources Inc.,EOG,Oil and Gas,Exploration and Production,YES,NO,United States,United States
El Paso Corp.,EP,Oil and Gas,Pipelines,YES,NO,United States,United States
Energy Partners Ltd.,EPL,Oil and Gas,Exploration and Production,NO,NO,United States,United States
Entertainment Properties Trust,EPR,Financials,Diversified Real Estate Investment Trusts,NO,NO,United States,United States
Equity Residential,EQR,Financials,Residential Real Estate Investment Trusts,YES,NO,United States,United States
EQT Corp.,EQT,Utilities,Gas Distribution,YES,NO,United States,United States
Equal Energy Ltd.,EQU,Oil and Gas,undefined,NO,NO,Canada,Canada
Equity One Inc.,EQY,Financials,Retail Real Estate Investment Trusts,NO,NO,United States,United States
Embraer S-A,ERJ,Industrials,undefined,NO,NO,Brazil,Latin America
EnergySolutions Inc.,ES,Industrials,Waste and Disposal Services,NO,NO,United States,United States
Emeritus Corp.,ESC,Health Care,Health Care Providers,NO,NO,United States,United States
ESCO Technologies Inc.,ESE,Industrials,Electronic Equipment,NO,NO,United States,United States
ITT Educational Services Inc.,ESI,Consumer Services,Specialized Consumer Services,NO,NO,United States,United States
Esterline Technologies Corp.,ESL,Industrials,Aerospace,NO,NO,United States,United States
Essex Property Trust Inc.,ESS,Financials,Residential Real Estate Investment Trusts,NO,NO,United States,United States
ENSCO International Inc.,ESV,Oil and Gas,Oil Equipment and Services,YES,NO,United States,United States
Ethan Allen Interiors Inc.,ETH,Consumer Goods,Furnishings,NO,NO,United States,United States
Entercom Communications Corp. Cl A,ETM,Consumer Services,Broadcasting and Entertainment,NO,NO,United States,United States
Eaton Corp.,ETN,Industrials,Diversified Industrials,YES,NO,United States,United States
Entergy Corp.,ETR,Utilities,Conventional Electricity,YES,NO,United States,United States
Eaton Vance Corp.,EV,Financials,Asset Managers,NO,NO,United States,United States
Entravision Communications Corp.,EVC,Consumer Services,Broadcasting and Entertainment,NO,NO,United States,United States
Evercore Partners Inc. Cl A,EVR,Financials,Asset Managers,NO,NO,United States,United States
Edwards Lifesciences Corp.,EW,Health Care,Medical Supplies,NO,NO,United States,United States
ExamWorks Group Inc.,EXAM,Industrials,undefined,NO,NO,United States,United States
Corporate Executive Board Co.,EXBD,Industrials,undefined,NO,NO,United States,United States
Exelon Corp.,EXC,Utilities,Conventional Electricity,YES,NO,United States,United States
Exterran Holdings Inc.,EXH,Oil and Gas,Oil Equipment and Services,NO,NO,United States,United States
Endeavour Silver Corp.,EXK,Basic Materials,undefined,NO,NO,Canada,Canada
Excel Trust Inc.,EXL,Financials,undefined,NO,NO,United States,United States
Excel Maritime Carriers Ltd.,EXM,Industrials,Marine Transportation,NO,NO,United States,United States
Eagle Materials Inc.,EXP,Industrials,Building Materials and Fixtures,NO,NO,United States,United States
Express Inc.,EXPR,Consumer Services,undefined,NO,NO,United States,United States
Extra Space Storage Inc.,EXR,Financials,Specialty Real Estate Investment Trusts,NO,NO,United States,United States
Ford Motor Co.,F,Consumer Goods,Automobiles,YES,NO,United States,United States
First Acceptance Corp.,FAC,Financials,Property and Casualty Insurance,NO,NO,United States,United States
First American Corp.,FAF,Financials,Property and Casualty Insurance,NO,NO,United States,United States
Flagstar Bancorp Inc.,FBC,Financials,Banks,NO,NO,United States,United States
Fortune Brands Home & Security Inc.,FBHS,Industrials,undefined,NO,NO,United States,United States
Furniture Brands International Inc.,FBN,Consumer Goods,Furnishings,NO,NO,United States,United States
First BanCorp (Puerto Rico),FBP,Financials,Banks,NO,NO,United States,United States
Fibria Celulose S.A.,FBR,Basic Materials,Paper,NO,NO,Brazil,Latin America
Franklin Covey Co.,FC,Industrials,Business Support Services,NO,NO,United States,United States
Forest City Enterprises Inc. Cl A,FCE-A,Financials,Real Estate Holding and Development,NO,NO,United States,United States
Forest City Enterprises Inc. Cl B,FCE-B,Financials,Real Estate Holding and Development,NO,NO,United States,United States
First Commonwealth Financial Corp. (Pennsylva,FCF,Financials,Banks,NO,NO,United States,United States
Felcor Lodging Trust Inc.,FCH,Financials,Hotel and Lodging Real Estate Investment Trusts,NO,NO,United States,United States
FTI Consulting Inc.,FCN,Industrials,Business Support Services,NO,NO,United States,United States
Fairchild Semiconductor International Inc.,FCS,Technology,Semiconductors,NO,NO,United States,United States
Freeport-McMoRan Copper & Gold Inc.,FCX,Basic Materials,Nonferrous Metals,YES,NO,United States,United States
Family Dollar Stores Inc.,FDO,Consumer Services,Specialty Retailers,YES,NO,United States,United States
Fresh Del Monte Produce Inc.,FDP,Consumer Goods,Food Products,NO,NO,United States,United States
FactSet Research Systems Inc.,FDS,Consumer Services,Publishing,NO,NO,United States,United States
FedEx Corp.,FDX,Industrials,Delivery Services,YES,NO,United States,United States
FirstEnergy Corp.,FE,Utilities,Conventional Electricity,YES,NO,United States,United States
Phoenix New Media Ltd. Cl A,FENG,Consumer Services,undefined,NO,NO,China,Asia-Pacific
FutureFuel Corp.,FF,Basic Materials,undefined,NO,NO,United States,United States
FBL Financial Group Inc.,FFG,Financials,Life Insurance,NO,NO,United States,United States
First Horizon National Corp.,FHN,Financials,Banks,YES,NO,United States,United States
Fair Isaac Corp.,FICO,Technology,Software,NO,NO,United States,United States
Federated Investors Inc.,FII,Financials,Asset Managers,YES,NO,United States,United States
Fusion-io Inc.,FIO,Technology,undefined,NO,NO,United States,United States
Fidelity National Information Services Inc.,FIS,Industrials,Financial Administration,YES,NO,United States,United States
Comfort Systems USA Inc.,FIX,Industrials,Business Support Services,NO,NO,United States,United States
Foot Locker Inc.,FL,Consumer Services,Apparel Retailers,NO,NO,United States,United States
Flowers Foods Inc.,FLO,Consumer Goods,Food Products,NO,NO,United States,United States
Fluor Corp.,FLR,Industrials,Heavy Construction,YES,NO,United States,United States
Flowserve Corp.,FLS,Industrials,Industrial Machinery,YES,NO,United States,United States
FleetCor Technologies Inc.,FLT,Industrials,undefined,NO,NO,United States,United States
Babcock & Brown Air Ltd.,FLY,Industrials,Transportation Services,NO,NO,Ireland,Europe
FMC Corp.,FMC,Basic Materials,Specialty Chemicals,YES,NO,United States,United States
First Marblehead Corp.,FMD,Financials,Consumer Finance,NO,NO,United States,United States
Fresenius Medical Care AG & Co. KGaA,FMS,Health Care,Health Care Providers,NO,NO,Germany,Europe
Fabrinet,FN,Industrials,undefined,NO,NO,China,Asia-Pacific
F.N.B. Corp.,FNB,Financials,Banks,NO,NO,United States,United States
Fidelity National Financial Inc.,FNF,Financials,Mortgage Finance,NO,NO,United States,United States
Franco-Nevada Corp.,FNV,Financials,undefined,NO,NO,Canada,Canada
Ferro Corp.,FOE,Basic Materials,Specialty Chemicals,NO,NO,United States,United States
Forestar Group Inc.,FOR,Financials,Real Estate Holding and Development,NO,NO,United States,United States
First Potomac Realty Trust,FPO,Financials,Industrial and Office Real Estate Investment Trusts,NO,NO,United States,United States
First Industrial Realty Trust Inc.,FR,Financials,Industrial and Office Real Estate Investment Trusts,NO,NO,United States,United States
First Republic Bank,FRC,Financials,undefined,NO,NO,United States,United States
Fortegra Financial Corp.,FRF,Financials,undefined,NO,NO,United States,United States
Furmanite Corp.,FRM,Industrials,Business Support Services,NO,NO,United States,United States
Frontline Ltd.,FRO,Oil and Gas,Oil Equipment and Services,NO,NO,United States,United States
Federal Realty Investment Trust,FRT,Financials,Retail Real Estate Investment Trusts,NO,NO,United States,United States
Forest Laboratories Inc.,FRX,Health Care,Pharmaceuticals,YES,NO,United States,United States
Freescale Semiconductor Holdings I Ltd.,FSL,Technology,undefined,NO,NO,United States,United States
Fortuna Silver Mines Inc.,FSM,Basic Materials,undefined,NO,NO,Canada,Canada
Flagstone Reinsurance Holdings Ltd.,FSR,Financials,Reinsurance,NO,NO,United States,United States
Federal Signal Corp.,FSS,Industrials,Commerical Vehicles and Trucks,NO,NO,United States,United States
Forest Oil Corp.,FST,Oil and Gas,Exploration and Production,NO,NO,United States,United States
France Telecom,FTE,Telecommunications,Fixed Line Telecommunications,NO,NO,France,Europe
FMC Technologies Inc.,FTI,Oil and Gas,Oil Equipment and Services,YES,NO,United States,United States
Flotek Industries Inc.,FTK,Oil and Gas,Oil Equipment and Services,NO,NO,United States,United States
H.B. Fuller Co.,FUL,Basic Materials,Specialty Chemicals,NO,NO,United States,United States
Winthrop Realty Trust,FUR,Financials,Mortgage Real Estate Investment Trusts,NO,NO,United States,United States
Five Star Quality Care Inc.,FVE,Health Care,undefined,NO,NO,United States,United States
FXCM Inc.,FXCM,Financials,undefined,NO,NO,United States,United States
Genpact Ltd.,G,Industrials,Business Support Services,NO,NO,United States,United States
Giant Interactive Group Inc.,GA,Consumer Goods,Toys,NO,NO,China,Asia-Pacific
Nicor Inc.,GAS,Utilities,Gas Distribution,YES,NO,United States,United States
Greatbatch Inc.,GB,Industrials,Electrical Components and Equipment,NO,NO,United States,United States
Grubb & Ellis Co.,GBE,Financials,Real Estate Services,NO,NO,United States,United States
GAMCO Investors Inc. Cl A,GBL,Financials,Asset Managers,NO,NO,United States,United States
Greenbrier Cos.,GBX,Industrials,Commerical Vehicles and Trucks,NO,NO,United States,United States
Global Cash Access Holdings Inc.,GCA,Industrials,Financial Administration,NO,NO,United States,United States
GAIN Capital Holdings Inc.,GCAP,Financials,undefined,NO,NO,United States,United States
Gannett Co. Inc.,GCI,Consumer Services,Publishing,YES,NO,United States,United States
Genesco Inc.,GCO,Consumer Services,Apparel Retailers,NO,NO,United States,United States
General Dynamics Corp.,GD,Industrials,Defense,YES,NO,United States,United States
Gardner Denver Inc.,GDI,Industrials,Industrial Machinery,NO,NO,United States,United States
Green Dot Corp. Cl A,GDOT,Financials,undefined,NO,NO,United States,United States
Goodrich Petroleum Corp.,GDP,Oil and Gas,Exploration and Production,NO,NO,United States,United States
General Electric Co.,GE,Industrials,Diversified Industrials,YES,YES,United States,United States
Greif Inc. Cl A,GEF,Industrials,Containers and Packaging,NO,NO,United States,United States
Greif Inc. Cl B,GEF-B,Industrials,Containers and Packaging,NO,NO,United States,United States
GenOn Energy Inc.,GEN,Utilities,undefined,NO,NO,United States,United States
Geo Group Inc.,GEO,Industrials,Business Support Services,NO,NO,United States,United States
Guess? Inc.,GES,Consumer Services,Apparel Retailers,NO,NO,United States,United States
Gaylord Entertainment Co.,GET,Consumer Services,Hotels,NO,NO,United States,United States
Gafisa S-A,GFA,Consumer Goods,Home Construction,NO,NO,United States,United States
Griffon Corp.,GFF,Industrials,Building Materials and Fixtures,NO,NO,United States,United States
Gold Fields Ltd.,GFI,Basic Materials,Gold Mining,NO,NO,South Africa,MidEast-Africa
GFI Group Inc.,GFIG,Financials,undefined,NO,NO,United States,United States
Goldcorp Inc.,GG,Basic Materials,Gold Mining,NO,NO,Canada,Canada
Georgia Gulf Corp.,GGC,Basic Materials,Commodity Chemicals,NO,NO,United States,United States
Graco Inc.,GGG,Industrials,Industrial Machinery,NO,NO,United States,United States
General Growth Properties Inc.,GGP,Financials,undefined,NO,NO,United States,United States
Global Geophysical Services Inc.,GGS,Oil and Gas,undefined,NO,NO,United States,United States
Greenhill & Co. Inc.,GHL,Financials,Investment Services,NO,NO,United States,United States
CGI Group Inc. Cl A,GIB,Technology,Computer Services,NO,NO,Canada,Canada
Gildan Activewear Inc.,GIL,Consumer Goods,Clothing and Accessories,NO,NO,Canada,Canada
General Mills Inc.,GIS,Consumer Goods,Food Products,YES,NO,United States,United States
Gramercy Capital Corp.,GKK,Financials,Mortgage Real Estate Investment Trusts,NO,NO,United States,United States
Gulfmark Offshore Inc.,GLF,Oil and Gas,Oil Equipment and Services,NO,NO,United States,United States
Glatfelter,GLT,Basic Materials,Paper,NO,NO,United States,United States
Corning Inc.,GLW,Technology,Telecommunications Equipment,YES,NO,United States,United States
General Motors Co.,GM,Consumer Goods,undefined,NO,NO,United States,United States
GameStop Corp. Cl A,GME,Consumer Services,Specialty Retailers,YES,NO,United States,United States
Gruma S.A.B. de C.V.,GMK,Consumer Goods,Food Products,NO,NO,Mexico,Latin America
GATX Corp.,GMT,Industrials,Commerical Vehicles and Trucks,NO,NO,United States,United States
GMX Resources Inc.,GMXR,Oil and Gas,Oil and Gas,NO,NO,United States,United States
GNC Holdings Inc. Cl A,GNC,Consumer Services,undefined,NO,NO,United States,United States
Genie Energy Ltd. Cl B,GNE,Utilities,undefined,NO,NO,United States,United States
Genco Shipping & Trading Ltd.,GNK,Industrials,Marine Transportation,NO,NO,United States,United States
Generac Holdings Inc.,GNRC,Industrials,undefined,NO,NO,United States,United States
Genworth Financial Inc. Cl A,GNW,Financials,Life Insurance,YES,NO,United States,United States
Government Properties Income Trust,GOV,Financials,Specialty Real Estate Investment Trusts,NO,NO,United States,United States
Genuine Parts Co.,GPC,Consumer Goods,Auto Parts,YES,NO,United States,United States
Group 1 Automotive Inc.,GPI,Consumer Services,Specialty Retailers,NO,NO,United States,United States
Graphic Packaging Holding Co.,GPK,Industrials,Containers and Packaging,NO,NO,United States,United States
Global Payments Inc.,GPN,Industrials,Financial Administration,NO,NO,United States,United States
Gap Inc.,GPS,Consumer Services,Apparel Retailers,YES,NO,United States,United States
GP Strategies Corp.,GPX,Industrials,Business Support Services,NO,NO,United States,United States
Goodrich Corp.,GR,Industrials,Aerospace,YES,NO,United States,United States
W.R. Grace & Co.,GRA,Basic Materials,Specialty Chemicals,NO,NO,United States,United States
AGRIA Corp.,GRO,Consumer Goods,Farming and Fishing,NO,NO,China,Asia-Pacific
Glimcher Realty Trust,GRT,Financials,Retail Real Estate Investment Trusts,NO,NO,United States,United States
Goldman Sachs Group Inc.,GS,Financials,Investment Services,YES,NO,United States,United States
Guangshen Railway Co. Ltd.,GSH,Consumer Services,Travel and Tourism,NO,NO,China,Asia-Pacific
General Steel Holdings Inc.,GSI,Basic Materials,Iron and Steel,NO,NO,China,Asia-Pacific
GlaxoSmithKline PLC,GSK,Health Care,Pharmaceuticals,NO,NO,United Kingdom,Europe
Global Ship Lease Inc. Cl A,GSL,Industrials,Transportation Services,NO,NO,United States,United States
Goodyear Tire & Rubber Co.,GT,Consumer Goods,Tires,YES,NO,United States,United States
GrafTech International Ltd.,GTI,Industrials,Electrical Components and Equipment,NO,NO,United States,United States
Gray Television Inc.,GTN,Consumer Services,Broadcasting and Entertainment,NO,NO,United States,United States
Gray Television Inc. Cl A,GTN-A,Consumer Services,Broadcasting and Entertainment,NO,NO,United States,United States
Triple-S Management Corp. Cl B,GTS,Health Care,Health Care Providers,NO,NO,United States,United States
Getty Realty Corp.,GTY,Financials,Retail Real Estate Investment Trusts,NO,NO,United States,United States
Gushan Environmental Energy Ltd.,GU,Oil and Gas,Alternative Fuels,NO,NO,China,Asia-Pacific
Granite Construction Inc.,GVA,Industrials,Heavy Construction,NO,NO,United States,United States
Genesee & Wyoming Inc. Cl A,GWR,Industrials,Railroads,NO,NO,United States,United States
W.W. Grainger Inc.,GWW,Industrials,Industrial Suppliers,NO,NO,United States,United States
Great Plains Energy Inc.,GXP,Utilities,Conventional Electricity,NO,NO,United States,United States
GenCorp Inc.,GY,Industrials,Defense,NO,NO,United States,United States
Gazit-Globe Ltd.,GZT,Financials,undefined,NO,NO,Israel,MidEast-Africa
Hyatt Hotels Corp.,H,Consumer Services,Hotels,NO,NO,United States,United States
Haemonetics Corp.,HAE,Health Care,Medical Supplies,NO,NO,United States,United States
Halliburton Co.,HAL,Oil and Gas,Oil Equipment and Services,YES,NO,United States,United States
Harman International Industries Inc.,HAR,Consumer Goods,Consumer Electronics,YES,NO,United States,United States
HSBC Holdings PLC,HBC,Financials,Banks,NO,NO,United Kingdom,Europe
Hanesbrands Inc.,HBI,Consumer Goods,Clothing and Accessories,NO,NO,United States,United States
HudBay Minerals Inc.,HBM,Basic Materials,undefined,NO,NO,Canada,Canada
HCA Holdings Inc.,HCA,Health Care,undefined,NO,NO,United States,United States
HCC Insurance Holdings Inc.,HCC,Financials,Property and Casualty Insurance,NO,NO,United States,United States
Health Care REIT Inc.,HCN,Financials,Specialty Real Estate Investment Trusts,YES,NO,United States,United States
HCP Inc.,HCP,Financials,Specialty Real Estate Investment Trusts,YES,NO,United States,United States
Home Depot Inc.,HD,Consumer Services,Home Improvement Retailers,YES,YES,United States,United States
HDFC Bank Ltd.,HDB,Financials,Banks,NO,NO,India,Asia-Pacific
Hyperdynamics Corp.,HDY,Oil and Gas,undefined,NO,NO,United States,United States
Hawaiian Electric Industries Inc.,HE,Utilities,Conventional Electricity,NO,NO,United States,United States
Heico Corp.,HEI,Industrials,Aerospace,NO,NO,United States,United States
Heico Corp. Cl A,HEI-A,Industrials,Aerospace,NO,NO,United States,United States
Hess Corp.,HES,Oil and Gas,Integrated Oil and Gas,YES,NO,United States,United States
HFF Inc. Cl A,HF,Financials,Real Estate Services,NO,NO,United States,United States
HollyFrontier Corp.,HFC,Oil and Gas,undefined,NO,NO,United States,United States
HHGregg Inc.,HGG,Consumer Goods,Durable Household Products,NO,NO,United States,United States
Hanger Orthopedic Group Inc.,HGR,Health Care,Health Care Providers,NO,NO,United States,United States
Howard Hughes Corp.,HHC,Financials,undefined,NO,NO,United States,United States
Harte-Hanks Inc.,HHS,Consumer Services,Media Agencies,NO,NO,United States,United States
Hillenbrand Inc.,HI,Consumer Services,Specialized Consumer Services,NO,NO,United States,United States
Hartford Financial Services Group Inc.,HIG,Financials,Full Line Insurance,YES,NO,United States,United States
Huntington Ingalls Industries Inc.,HII,Industrials,undefined,NO,NO,United States,United States
Hill International Inc.,HIL,Industrials,Heavy Construction,NO,NO,United States,United States
Hitachi Ltd.,HIT,Industrials,Electronic Equipment,NO,NO,Japan,Asia-Pacific
Highwoods Properties Inc.,HIW,Financials,Industrial and Office Real Estate Investment Trusts,NO,NO,United States,United States
Hecla Mining Co.,HL,Basic Materials,Platinum and Precious Metals,NO,NO,United States,United States
Herbalife Ltd.,HLF,Consumer Goods,Food Products,NO,NO,United States,United States
HealthSouth Corp.,HLS,Health Care,Health Care Providers,NO,NO,United States,United States
Helix Energy Solutions Group Inc.,HLX,Oil and Gas,Oil Equipment and Services,NO,NO,United States,United States
Health Management Associates Inc. Cl A,HMA,Health Care,Health Care Providers,NO,NO,United States,United States
Honda Motor Co. Ltd.,HMC,Consumer Goods,Automobiles,NO,NO,Japan,Asia-Pacific
Home Properties Inc.,HME,Financials,Residential Real Estate Investment Trusts,NO,NO,United States,United States
Horace Mann Educators Corp.,HMN,Financials,Property and Casualty Insurance,NO,NO,United States,United States
Harmony Gold Mining Co. Ltd.,HMY,Basic Materials,Gold Mining,NO,NO,South Africa,MidEast-Africa
HNI Corp.,HNI,Consumer Goods,Furnishings,NO,NO,United States,United States
Huaneng Power International Inc.,HNP,Utilities,Conventional Electricity,NO,NO,China,Asia-Pacific
Harvest Natural Resources Inc.,HNR,Oil and Gas,Exploration and Production,NO,NO,United States,United States
Health Net Inc.,HNT,Health Care,Health Care Providers,NO,NO,United States,United States
H.J. Heinz Co.,HNZ,Consumer Goods,Food Products,NO,NO,United States,United States
Harley-Davidson Inc.,HOG,Consumer Goods,Automobiles,YES,NO,United States,United States
Honeywell International Inc.,HON,Industrials,Diversified Industrials,YES,NO,United States,United States
Hornbeck Offshore Services Inc.,HOS,Oil and Gas,Oil Equipment and Services,NO,NO,United States,United States
Starwood Hotels & Resorts Worldwide Inc.,HOT,Consumer Services,Hotels,YES,NO,United States,United States
Hovnanian Enterprises Inc. Cl A,HOV,Consumer Goods,Home Construction,NO,NO,United States,United States
Helmerich & Payne Inc.,HP,Oil and Gas,Oil Equipment and Services,NO,NO,United States,United States
Hudson Pacific Properties Inc.,HPP,Financials,undefined,NO,NO,United States,United States
Hewlett-Packard Co.,HPQ,Technology,Computer Hardware,YES,YES,United States,United States
Hospitality Properties Trust,HPT,Financials,Hotel and Lodging Real Estate Investment Trusts,NO,NO,United States,United States
Heartland Payment Systems Inc.,HPY,Industrials,Financial Administration,NO,NO,United States,United States
Healthcare Realty Trust Inc.,HR,Financials,Specialty Real Estate Investment Trusts,NO,NO,United States,United States
H&R Block Inc.,HRB,Consumer Services,Specialized Consumer Services,YES,NO,United States,United States
Hill-Rom Holdings Inc.,HRC,Health Care,Medical Equipment,NO,NO,United States,United States
Harbinger Group Inc.,HRG,Financials,Diversified Investments,NO,NO,United States,United States
Hormel Foods Corp.,HRL,Consumer Goods,Food Products,YES,NO,United States,United States
Harris Corp.,HRS,Technology,Telecommunications Equipment,YES,NO,United States,United States
HealthSpring Inc.,HS,Health Care,Health Care Providers,NO,NO,United States,United States
Harsco Corp.,HSC,Industrials,Diversified Industrials,NO,NO,United States,United States
Hospira Inc.,HSP,Health Care,Pharmaceuticals,NO,NO,United States,United States
Host Hotels & Resorts Inc.,HST,Financials,Hotel and Lodging Real Estate Investment Trusts,YES,NO,United States,United States
Hershey Co.,HSY,Consumer Goods,Food Products,YES,NO,United States,United States
Hersha Hospitality Trust Cl A,HT,Financials,Hotel and Lodging Real Estate Investment Trusts,NO,NO,United States,United States
Hilltop Holdings Inc.,HTH,Financials,Real Estate Holding and Development,NO,NO,United States,United States
Hatteras Financial Corp.,HTS,Financials,Mortgage Real Estate Investment Trusts,NO,NO,United States,United States
Hertz Global Hldgs Inc.,HTZ,Consumer Services,Travel and Tourism,NO,NO,United States,United States
Hubbell Inc. Cl A,HUB-A,Industrials,Electrical Components and Equipment,NO,NO,United States,United States
Hubbell Inc. Cl B,HUB-B,Industrials,Electrical Components and Equipment,NO,NO,United States,United States
Humana Inc.,HUM,Health Care,Health Care Providers,YES,NO,United States,United States
Huntsman Corp.,HUN,Basic Materials,Commodity Chemicals,NO,NO,United States,United States
Hudson Valley Holding Corp.,HVB,Financials,undefined,NO,NO,United States,United States
Haverty Furniture Cos. Inc.,HVT,Consumer Services,Home Improvement Retailers,NO,NO,United States,United States
Haverty Furniture Cos. Inc. Cl A,HVT-A,Consumer Services,Home Improvement Retailers,NO,NO,United States,United States
Headwaters Inc.,HW,Industrials,Building Materials and Fixtures,NO,NO,United States,United States
Harry Winston Diamond Corp.,HWD,Basic Materials,Diamonds and Gemstones,NO,NO,Canada,Canada
Hexcel Corp.,HXL,Industrials,Aerospace,NO,NO,United States,United States
Desarrolladora Homex S.A.B. de C.V.,HXM,Consumer Goods,Home Construction,NO,NO,Mexico,Latin America
MarineMax Inc.,HZO,Consumer Services,Specialty Retailers,NO,NO,United States,United States
IAMGOLD Corp.,IAG,Basic Materials,Gold Mining,NO,NO,Canada,Canada
Industrias Bachoco S.A.B. de C.V.,IBA,Consumer Goods,Food Products,NO,NO,Mexico,Latin America
Interline Brands Inc.,IBI,Industrials,Industrial Suppliers,NO,NO,United States,United States
International Business Machines Corp.,IBM,Technology,Computer Services,YES,YES,United States,United States
ICICI Bank Ltd.,IBN,Financials,Banks,NO,NO,India,Asia-Pacific
Empresas ICA S.A. de C.V.,ICA,Industrials,Heavy Construction,NO,NO,Mexico,Latin America
IntercontinentalExchange Inc.,ICE,Financials,Investment Services,YES,NO,United States,United States
IDACORP Inc.,IDA,Utilities,Conventional Electricity,NO,NO,United States,United States
IDT Corp. Cl B,IDT,Telecommunications,Fixed Line Telecommunications,NO,NO,United States,United States
IDEX Corp.,IEX,Industrials,Industrial Machinery,NO,NO,United States,United States
International Flavors & Fragrances Inc.,IFF,Basic Materials,Specialty Chemicals,YES,NO,United States,United States
Imperial Holdings Inc.,IFT,Financials,undefined,NO,NO,United States,United States
International Game Technology,IGT,Consumer Services,Gambling,YES,NO,United States,United States
Independence Holding Co.,IHC,Financials,Life Insurance,NO,NO,United States,United States
InterContinental Hotels Group PLC,IHG,Consumer Services,Hotels,NO,NO,United Kingdom,Europe
IHS Inc. Cl A,IHS,Consumer Services,Publishing,NO,NO,United States,United States
Indosat,IIT,Telecommunications,Mobile Telecommunications,NO,NO,Indonesia,Asia-Pacific
IntraLinks Holdings Inc.,IL,Technology,undefined,NO,NO,United States,United States
Ingram Micro Inc. Cl A,IM,Technology,Computer Hardware,NO,NO,United States,United States
Imax Corp.,IMAX,Consumer Services,undefined,NO,NO,Canada,Canada
Imation Corp.,IMN,Technology,Computer Hardware,NO,NO,United States,United States
Imperva Inc.,IMPV,Industrials,undefined,NO,NO,United States,United States
Intermec Inc.,IN,Technology,Computer Hardware,NO,NO,United States,United States
