Name,Symbol,Industry,SubIndustry,SandP,Dow,Country,Region,
Luby's Inc.,LUB,Consumer Services,Restaurants and Bars,NO,NO,United States,United States,LUB
Leucadia National Corp.,LUK,Telecommunications,Fixed Line Telecommunications,YES,NO,United States,United States,LUK
Southwest Airlines Co.,LUV,Consumer Services,Airlines,YES,NO,United States,United States,LUV
Luxottica Group S.p.A.,LUX,Consumer Goods,Clothing and Accessories,NO,NO,Italy,Europe,LUX
Steinway Musical Instruments Inc.,LVB,Consumer Goods,Recreational Products,NO,NO,United States,United States,LVB
Level 3 Communications Inc.,LVLT,Telecommunications,undefined,NO,NO,United States,United States,1026
Las Vegas Sands Corp.,LVS,Consumer Services,Gambling,NO,NO,United States,United States,LVS
Lexmark International Inc.,LXK,Technology,Computer Hardware,YES,NO,United States,United States,LXK
Lexington Realty Trust,LXP,Financials,Diversified Real Estate Investment Trusts,NO,NO,United States,United States,LXP
LSB Industries Inc.,LXU,Basic Materials,Commodity Chemicals,NO,NO,United States,United States,LXU
LyondellBasell Industries N.V. Cl A,LYB,Basic Materials,undefined,NO,NO,United States,United States,1031
Lloyds Banking Group PLC,LYG,Financials,Banks,NO,NO,United Kingdom,Europe,LYG
Live Nation Inc.,LYV,Consumer Services,Recreational Services,NO,NO,United States,United States,LYV
La-Z-Boy Inc.,LZB,Consumer Goods,Furnishings,NO,NO,United States,United States,LZB
Macy's Inc.,M,Consumer Services,Broadline Retailers,YES,NO,United States,United States,M
MasterCard Inc. Cl A,MA,Financials,Consumer Finance,YES,NO,United States,United States,MA
Mid-America Apartment Communities Inc.,MAA,Financials,Residential Real Estate Investment Trusts,NO,NO,United States,United States,MAA
Macerich Co.,MAC,Financials,Retail Real Estate Investment Trusts,NO,NO,United States,United States,MAC
Manpower Inc.,MAN,Industrials,Business Training and Employment Agencies,NO,NO,United States,United States,MAN
Marriott International Inc. Cl A,MAR,Consumer Services,Hotels,YES,NO,United States,United States,MAR
Masco Corp.,MAS,Industrials,Building Materials and Fixtures,YES,NO,United States,United States,MAS
MBIA Inc.,MBI,Financials,Property and Casualty Insurance,YES,NO,United States,United States,MBI
Mobile Telesystems,MBT,Telecommunications,Mobile Telecommunications,NO,NO,Russia,Asia-Pacific,MBT
McDonald's Corp.,MCD,Consumer Services,Restaurants and Bars,YES,YES,United States,United States,MCD
McKesson Corp.,MCK,Consumer Services,Drug Retailers,YES,NO,United States,United States,MCK
Moody's Corp.,MCO,Financials,Specialty Finance,YES,NO,United States,United States,MCO
Molycorp Inc.,MCP,Basic Materials,undefined,NO,NO,United States,United States,1047
Marcus Corp.,MCS,Consumer Services,Hotels,NO,NO,United States,United States,MCS
Mercury General Corp.,MCY,Financials,Property and Casualty Insurance,NO,NO,United States,United States,MCY
Mednax Inc.,MD,Health Care,Health Care Providers,NO,NO,United States,United States,MD
M.D.C. Holdings Inc.,MDC,Consumer Goods,Home Construction,NO,NO,United States,United States,MDC
Metropolitan Health Networks Inc.,MDF,Health Care,undefined,NO,NO,United States,United States,1052
Meredith Corp.,MDP,Consumer Services,Publishing,YES,NO,United States,United States,MDP
McDermott International Inc.,MDR,Industrials,Heavy Construction,NO,NO,United States,United States,MDR
Midas Inc.,MDS,Consumer Services,Specialized Consumer Services,NO,NO,United States,United States,MDS
Medtronic Inc.,MDT,Health Care,Medical Equipment,YES,NO,United States,United States,MDT
MDU Resources Group Inc.,MDU,Industrials,Building Materials and Fixtures,NO,NO,United States,United States,MDU
Medifast Inc.,MED,Consumer Goods,Food Products,NO,NO,United States,United States,MED
Media General Inc. Cl A,MEG,Consumer Services,Publishing,NO,NO,United States,United States,MEG
Methode Electronics Inc.,MEI,Industrials,Electrical Components and Equipment,NO,NO,United States,United States,MEI
MetLife Inc.,MET,Financials,Life Insurance,YES,NO,United States,United States,MET
MFA Financial Inc.,MFA,Financials,Mortgage Real Estate Investment Trusts,NO,NO,United States,United States,MFA
Maidenform Brands Inc.,MFB,Consumer Goods,Clothing and Accessories,NO,NO,United States,United States,MFB
Manulife Financial Corp.,MFC,Financials,Life Insurance,NO,NO,Canada,Canada,MFC
Mizuho Financial Group Inc.,MFG,Financials,Banks,NO,NO,Japan,Asia-Pacific,MFG
Mistras Group Inc.,MG,Industrials,Business Support Services,NO,NO,United States,United States,MG
Magna International Inc. Cl A Sub Vtg,MGA,Consumer Goods,Auto Parts,NO,NO,Canada,Canada,MGA
MoneyGram International Inc.,MGI,Financials,Consumer Finance,NO,NO,United States,United States,MGI
MGM MIRAGE,MGM,Consumer Services,Gambling,NO,NO,United States,United States,MGM
Mohawk Industries Inc.,MHK,Consumer Goods,Furnishings,NO,NO,United States,United States,MHK
M-I Homes Inc.,MHO,Consumer Goods,Home Construction,NO,NO,United States,United States,MHO
McGraw-Hill Cos.,MHP,Consumer Services,Publishing,YES,NO,United States,United States,MHP
Magnum Hunter Resources Corp.,MHR,Oil and Gas,undefined,NO,NO,United States,United States,1073
Medco Health Solutions Inc.,MHS,Health Care,Health Care Providers,YES,NO,United States,United States,MHS
Meadowbrook Insurance Group Inc.,MIG,Financials,Property and Casualty Insurance,NO,NO,United States,United States,MIG
MFC Industrial Ltd.,MIL,Basic Materials,undefined,NO,NO,Canada,Canada,1076
Miller Energy Resources Inc.,MILL,Oil and Gas,undefined,NO,NO,United States,United States,1077
MI Developments Inc. Cl A,MIM,Financials,Real Estate Holding and Development,NO,NO,Canada,Canada,MIM
AG Mortgage Investment Trust Inc.,MITT,Financials,undefined,NO,NO,United States,United States,1079
Mead Johnson Nutrition Co. CL A,MJN,Consumer Goods,Food Products,NO,NO,United States,United States,MJN
McCormick & Co. Inc.,MKC,Consumer Goods,Food Products,YES,NO,United States,United States,MKC
McCormick & Co. Inc. Com. Vtg.,MKC-V,Consumer Goods,Food Products,NO,NO,United States,United States,MKC-V
Markel Corp.,MKL,Financials,Property and Casualty Insurance,NO,NO,United States,United States,MKL
Mueller Industries Inc.,MLI,Industrials,Industrial Machinery,NO,NO,United States,United States,MLI
Martin Marietta Materials Inc.,MLM,Industrials,Building Materials and Fixtures,NO,NO,United States,United States,MLM
Maui Land & Pineapple Co. Inc.,MLP,Financials,Real Estate Holding and Development,NO,NO,United States,United States,MLP
Miller Industries Inc.,MLR,Industrials,Commerical Vehicles and Trucks,NO,NO,United States,United States,MLR
Marsh & McLennan Cos.,MMC,Financials,Insurance Brokers,YES,NO,United States,United States,MMC
Motorola Mobility Holdings Inc.,MMI,Technology,undefined,NO,NO,United States,United States,1089
3M Company,MMM,Industrials,Diversified Industrials,YES,YES,United States,United States,MMM
McMoRan Exploration Co.,MMR,Oil and Gas,Exploration and Production,NO,NO,United States,United States,MMR
Maximus Inc.,MMS,Technology,Computer Services,NO,NO,United States,United States,MMS
Manning & Napier Inc.,MN,Financials,undefined,NO,NO,United States,United States,1093
McClatchy Co. Cl A,MNI,Consumer Services,Publishing,NO,NO,United States,United States,MNI
Monmouth Real Estate Investment Corp. Cl A,MNR,Financials,undefined,NO,NO,United States,United States,1095
Altria Group Inc.,MO,Consumer Goods,Tobacco,YES,NO,United States,United States,MO
Modine Manufacturing Co.,MOD,Consumer Goods,Auto Parts,NO,NO,United States,United States,MOD
Moog Inc. Cl A,MOG-A,Industrials,Aerospace,NO,NO,United States,United States,MOG-A
Moog Inc. Cl B,MOG-B,Industrials,Aerospace,NO,NO,United States,United States,MOG-B
Molina Healthcare Inc.,MOH,Health Care,Health Care Providers,NO,NO,United States,United States,MOH
Monsanto Co.,MON,Consumer Goods,Farming and Fishing,YES,NO,United States,United States,MON
Mosaic Co.,MOS,Basic Materials,Specialty Chemicals,NO,NO,United States,United States,MOS
Movado Group Inc.,MOV,Consumer Goods,Clothing and Accessories,NO,NO,United States,United States,MOV
Marathon Petroleum Corp.,MPC,Oil and Gas,undefined,NO,NO,United States,United States,1104
Maguire Properties Inc.,MPG,Financials,Industrial and Office Real Estate Investment Trusts,NO,NO,United States,United States,MPG
Met-Pro Corp.,MPR,Industrials,Industrial Machinery,NO,NO,United States,United States,MPR
Medical Properties Trust Inc.,MPW,Financials,Specialty Real Estate Investment Trusts,NO,NO,United States,United States,MPW
Marine Products Corp.,MPX,Consumer Goods,Recreational Products,NO,NO,United States,United States,MPX
Mindray Medical International Ltd.,MR,Health Care,Medical Equipment,NO,NO,China,Asia-Pacific,MR
Montpelier Re Holdings Ltd.,MRH,Financials,Reinsurance,NO,NO,United States,United States,MRH
Merck & Co. Inc.,MRK,Health Care,Pharmaceuticals,YES,YES,United States,United States,MRK
Marathon Oil Corp.,MRO,Oil and Gas,Integrated Oil and Gas,YES,NO,United States,United States,MRO
Morton's Restaurant Group Inc.,MRT,Consumer Services,Restaurants and Bars,NO,NO,United States,United States,MRT
Medicis Pharmaceutical Corp.,MRX,Health Care,Pharmaceuticals,NO,NO,United States,United States,MRX
Morgan Stanley,MS,Financials,Investment Services,YES,NO,United States,United States,MS
Mine Safety Appliances Co.,MSA,Industrials,Industrial Machinery,NO,NO,United States,United States,MSA
MSCI Inc. Cl A,MSCI,Financials,undefined,NO,NO,United States,United States,1117
Motorola Solutions Inc.,MSI,Technology,undefined,NO,NO,United States,United States,1118
MSC Industrial Direct Co.,MSM,Industrials,Industrial Suppliers,NO,NO,United States,United States,MSM
Martha Stewart Living Omnimedia Inc.,MSO,Consumer Services,Publishing,NO,NO,United States,United States,MSO
ArcelorMittal,MT,Basic Materials,Iron and Steel,NO,NO,France,Europe,MT
M&T Bank Corp.,MTB,Financials,Banks,YES,NO,United States,United States,MTB
Mettler-Toledo International Inc.,MTD,Industrials,Electronic Equipment,NO,NO,United States,United States,MTD
Mahanagar Telephone Nigam Ltd.,MTE,Telecommunications,Fixed Line Telecommunications,NO,NO,India,Asia-Pacific,MTE
MGIC Investment Corp.,MTG,Financials,Mortgage Finance,NO,NO,United States,United States,MTG
Meritage Homes Corp.,MTH,Consumer Goods,Home Construction,NO,NO,United States,United States,MTH
Mechel OAO,MTL,Basic Materials,Iron and Steel,NO,NO,Russia,Asia-Pacific,MTL
Vail Resorts Inc.,MTN,Consumer Services,Hotels,NO,NO,United States,United States,MTN
Meritor Inc.,MTOR,Industrials,undefined,NO,NO,United States,United States,1129
Materion Corp.,MTRN,Industrials,undefined,NO,NO,United States,United States,1130
Mitsubishi UFJ Financial Group Inc.,MTU,Financials,Banks,NO,NO,Japan,Asia-Pacific,MTU
Manitowoc Co.,MTW,Industrials,Commerical Vehicles and Trucks,NO,NO,United States,United States,MTW
Minerals Technologies Inc.,MTX,Basic Materials,Commodity Chemicals,NO,NO,United States,United States,MTX
MasTec Inc.,MTZ,Technology,Telecommunications Equipment,NO,NO,United States,United States,MTZ
Murphy Oil Corp.,MUR,Oil and Gas,Integrated Oil and Gas,YES,NO,United States,United States,MUR
Metals USA Holdings Corp.,MUSA,Basic Materials,undefined,NO,NO,United States,United States,1136
Men's Wearhouse Inc.,MW,Consumer Services,Apparel Retailers,NO,NO,United States,United States,MW
Mueller Water Products Inc.,MWA,Industrials,Building Materials and Fixtures,NO,NO,United States,United States,MWA
MeadWestvaco Corp.,MWV,Industrials,Containers and Packaging,YES,NO,United States,United States,MWV
Monster Worldwide Inc.,MWW,Industrials,Business Training and Employment Agencies,YES,NO,United States,United States,MWW
MagnaChip Semiconductor Corp.,MX,Technology,undefined,NO,NO,United States,United States,1141
MaxLinear Inc.,MXL,Technology,undefined,NO,NO,United States,United States,1142
Maxcom Telecomunicaciones S.A.B. de C.V.,MXT,Telecommunications,Fixed Line Telecommunications,NO,NO,Mexico,Latin America,MXT
China Ming Yang Wind Power Group Ltd.,MY,Oil and Gas,undefined,NO,NO,China,Asia-Pacific,1144
Myers Industries Inc.,MYE,Industrials,Containers and Packaging,NO,NO,United States,United States,MYE
NetSuite Inc.,N,Technology,Software,NO,NO,United States,United States,N
Nordic American Tanker Shipping Ltd.,NAT,Industrials,Marine Transportation,NO,NO,United States,United States,NAT
Navistar International Corp.,NAV,Industrials,Commerical Vehicles and Trucks,NO,NO,United States,United States,NAV
National Bank of Greece S.A.,NBG,Financials,Banks,NO,NO,Greece,Europe,NBG
Noble Energy Inc.,NBL,Oil and Gas,Exploration and Production,YES,NO,United States,United States,NBL
Nabors Industries Ltd.,NBR,Oil and Gas,Oil Equipment and Services,YES,NO,United States,United States,NBR
NACCO Industries Inc. Cl A,NC,Industrials,Commerical Vehicles and Trucks,NO,NO,United States,United States,NC
Navigant Consulting Inc.,NCI,Industrials,Business Support Services,NO,NO,United States,United States,NCI
NCR Corp.,NCR,Technology,Computer Hardware,NO,NO,United States,United States,NCR
NCI Building Systems Inc.,NCS,Industrials,Building Materials and Fixtures,NO,NO,United States,United States,NCS
Newcastle Investment Corp.,NCT,Financials,Mortgage Real Estate Investment Trusts,NO,NO,United States,United States,NCT
99 Cents Only Stores,NDN,Consumer Services,Specialty Retailers,NO,NO,United States,United States,NDN
Nordion Inc.,NDZ,Health Care,undefined,NO,NO,Canada,Canada,1158
Noble Corp.,NE,Oil and Gas,Oil Equipment and Services,NO,NO,United States,United States,NE
Noah Education Holdings Ltd.,NED,Consumer Goods,Consumer Electronics,NO,NO,China,Asia-Pacific,NED
NextEra Energy Inc.,NEE,Utilities,undefined,NO,NO,United States,United States,1161
Newmont Mining Corp.,NEM,Basic Materials,Gold Mining,YES,NO,United States,United States,NEM
NewMarket Corp.,NEU,Basic Materials,Specialty Chemicals,NO,NO,United States,United States,NEU
National Fuel Gas Co.,NFG,Utilities,Gas Distribution,NO,NO,United States,United States,NFG
National Financial Partners Corp.,NFP,Financials,Asset Managers,NO,NO,United States,United States,NFP
Newfield Exploration Co.,NFX,Oil and Gas,Exploration and Production,NO,NO,United States,United States,NFX
National Grid PLC,NGG,Utilities,Multiutilities,NO,NO,United Kingdom,Europe,NGG
Natural Gas Services Group Inc.,NGS,Oil and Gas,Oil Equipment and Services,NO,NO,United States,United States,NGS
National Health Investors Inc.,NHI,Financials,Specialty Real Estate Investment Trusts,NO,NO,United States,United States,NHI
NiSource Inc.,NI,Utilities,Gas Distribution,YES,NO,United States,United States,NI
Nidec Corp.,NJ,Industrials,Electrical Components and Equipment,NO,NO,Japan,Asia-Pacific,NJ
New Jersey Resources Corp.,NJR,Utilities,Gas Distribution,NO,NO,United States,United States,NJR
Nike Inc. Cl B,NKE,Consumer Goods,Footwear,YES,NO,United States,United States,NKE
NL Industries Inc.,NL,Basic Materials,Specialty Chemicals,NO,NO,United States,United States,NL
Nautilus Inc.,NLS,Consumer Goods,Recreational Products,NO,NO,United States,United States,NLS
Nielsen Holdings N.V.,NLSN,Consumer Services,undefined,NO,NO,United States,United States,1176
Annaly Capital Management Inc.,NLY,Financials,Mortgage Real Estate Investment Trusts,NO,NO,United States,United States,NLY
Navios Maritime Holdings Inc.,NM,Industrials,Marine Transportation,NO,NO,Greece,Europe,NM
Nomura Holdings Inc.,NMR,Financials,Investment Services,NO,NO,Japan,Asia-Pacific,NMR
Nelnet Inc. Cl A,NNI,Financials,Consumer Finance,NO,NO,United States,United States,NNI
National Retail Properties Inc.,NNN,Financials,Retail Real Estate Investment Trusts,NO,NO,United States,United States,NNN
North American Energy Partners Inc.,NOA,Industrials,Heavy Construction,NO,NO,Canada,Canada,NOA
Noah Holdings Ltd.,NOAH,Financials,undefined,NO,NO,China,Asia-Pacific,1183
Northrop Grumman Corp.,NOC,Industrials,Defense,YES,NO,United States,United States,NOC
Nokia Corp.,NOK,Technology,Telecommunications Equipment,NO,NO,Finland,Europe,NOK
Noranda Aluminum Holding Corp.,NOR,Basic Materials,undefined,NO,NO,United States,United States,1186
National Oilwell Varco Inc.,NOV,Oil and Gas,Oil Equipment and Services,YES,NO,United States,United States,NOV
Neenah Paper Inc.,NP,Basic Materials,Paper,NO,NO,United States,United States,NP
China Nepstar Chain Drugstore Ltd.,NPD,Consumer Services,Drug Retailers,NO,NO,China,Asia-Pacific,NPD
National Presto Industries Inc.,NPK,Consumer Goods,Durable Household Products,NO,NO,United States,United States,NPK
EnPro Industries Inc.,NPO,Industrials,Industrial Machinery,NO,NO,United States,United States,NPO
NeoPhotonics Corp.,NPTN,Technology,undefined,NO,NO,United States,United States,1192
NetQin Mobile Inc.,NQ,Technology,undefined,NO,NO,China,Asia-Pacific,1193
Newpark Resources Inc.,NR,Oil and Gas,Oil Equipment and Services,NO,NO,United States,United States,NR
Northstar Realty Finance Corp.,NRF,Financials,Mortgage Real Estate Investment Trusts,NO,NO,United States,United States,NRF
NRG Energy Inc.,NRG,Utilities,Conventional Electricity,NO,NO,United States,United States,NRG
Norfolk Southern Corp.,NSC,Industrials,Railroads,YES,NO,United States,United States,NSC
Insperity Inc.,NSP,Industrials,undefined,NO,NO,United States,United States,1198
NeuStar Inc. Cl A,NSR,Industrials,Business Support Services,NO,NO,United States,United States,NSR
NSTAR,NST,Utilities,Conventional Electricity,NO,NO,United States,United States,NST
Nam Tai Electronics Inc.,NTE,Industrials,Electrical Components and Equipment,NO,NO,Hong Kong,Asia-Pacific,NTE
Nippon Telegraph & Telephone Corp.,NTT,Telecommunications,Fixed Line Telecommunications,NO,NO,Japan,Asia-Pacific,NTT
Natuzzi S.p.A.,NTZ,Consumer Goods,Furnishings,NO,NO,Italy,Europe,NTZ
Northeast Utilities,NU,Utilities,Conventional Electricity,YES,NO,United States,United States,NU
Nucor Corp.,NUE,Basic Materials,Iron and Steel,YES,NO,United States,United States,NUE
Nu Skin Enterprises Inc. Cl A,NUS,Consumer Goods,Food Products,NO,NO,United States,United States,NUS
NV Energy Inc.,NVE,Utilities,Conventional Electricity,NO,NO,United States,United States,NVE
Novo Nordisk A-S,NVO,Health Care,Pharmaceuticals,NO,NO,Denmark,Europe,NVO
NVR Inc.,NVR,Consumer Goods,Home Construction,NO,NO,United States,United States,NVR
Novartis AG,NVS,Health Care,Pharmaceuticals,NO,NO,Switzerland,Europe,NVS
NorthWestern Corp.,NWE,Utilities,Conventional Electricity,NO,NO,United States,United States,NWE
Newell Rubbermaid Inc.,NWL,Consumer Goods,Durable Household Products,YES,NO,United States,United States,NWL
Northwest Natural Gas Co.,NWN,Utilities,Gas Distribution,NO,NO,United States,United States,NWN
New York & Co. Inc.,NWY,Consumer Services,Apparel Retailers,NO,NO,United States,United States,NWY
Quanex Building Products Corp.,NX,Industrials,Building Materials and Fixtures,NO,NO,United States,United States,NX
Nexen Inc.,NXY,Oil and Gas,Exploration and Production,NO,NO,Canada,Canada,NXY
New York Community Bancorp Inc.,NYB,Financials,Banks,NO,NO,United States,United States,NYB
New York Times Co. Cl A,NYT,Consumer Services,Publishing,YES,NO,United States,United States,NYT
NYSE Euronext,NYX,Financials,Investment Services,YES,NO,United States,United States,NYX
Telecom Corp. of New Zealand Ltd.,NZT,Telecommunications,Fixed Line Telecommunications,NO,NO,New Zealand,Asia-Pacific,NZT
Realty Income Corp.,O,Financials,Retail Real Estate Investment Trusts,NO,NO,United States,United States,O
Oasis Petroleum Inc.,OAS,Oil and Gas,undefined,NO,NO,United States,United States,1222
OneBeacon Insurance Group Ltd. Cl A,OB,Financials,Property and Casualty Insurance,NO,NO,United States,United States,OB
Owens Corning,OC,Industrials,Building Materials and Fixtures,NO,NO,United States,United States,OC
Ocwen Financial Corp.,OCN,Financials,Mortgage Finance,NO,NO,United States,United States,OCN
Omnicare Inc.,OCR,Consumer Services,Drug Retailers,NO,NO,United States,United States,OCR
Oil-Dri Corp. of America,ODC,Consumer Goods,Nondurable Household Products,NO,NO,United States,United States,ODC
Office Depot Inc.,ODP,Consumer Services,Specialty Retailers,YES,NO,United States,United States,ODP
Orient Express Hotels Ltd.,OEH,Consumer Services,Hotels,NO,NO,United States,United States,OEH
Corporate Office Properties Trust,OFC,Financials,Industrial and Office Real Estate Investment Trusts,NO,NO,United States,United States,OFC
Oriental Financial Group Inc.,OFG,Financials,Banks,NO,NO,United States,United States,OFG
OGE Energy Corp.,OGE,Oil and Gas,Pipelines,NO,NO,United States,United States,OGE
Omega Healthcare Investors Inc.,OHI,Financials,Specialty Real Estate Investment Trusts,NO,NO,United States,United States,OHI
Owens-Illinois Inc.,OI,Industrials,Containers and Packaging,YES,NO,United States,United States,OI
Oceaneering International Inc.,OII,Oil and Gas,Oil Equipment and Services,NO,NO,United States,United States,OII
Oil States International Inc.,OIS,Oil and Gas,Oil Equipment and Services,NO,NO,United States,United States,OIS
ONEOK Inc.,OKE,Utilities,Gas Distribution,NO,NO,United States,United States,OKE
Olin Corp.,OLN,Basic Materials,Commodity Chemicals,NO,NO,United States,United States,OLN
One Liberty Properties Inc.,OLP,Financials,Retail Real Estate Investment Trusts,NO,NO,United States,United States,OLP
Omnicom Group Inc.,OMC,Consumer Services,Media Agencies,YES,NO,United States,United States,OMC
Omega Protein Corp.,OME,Consumer Goods,Food Products,NO,NO,United States,United States,OME
OM Group Inc.,OMG,Basic Materials,Specialty Chemicals,NO,NO,United States,United States,OMG
Owens & Minor Inc.,OMI,Health Care,Medical Supplies,NO,NO,United States,United States,OMI
OMNOVA Solutions Inc.,OMN,Basic Materials,Specialty Chemicals,NO,NO,United States,United States,OMN
OfficeMax Inc.,OMX,Consumer Services,Specialty Retailers,NO,NO,United States,United States,OMX
Old National Bancorp,ONB,Financials,Banks,NO,NO,United States,United States,ONB
Higher One Holdings Inc.,ONE,Industrials,undefined,NO,NO,United States,United States,1247
Opko Health Inc.,OPK,Health Care,undefined,NO,NO,United States,United States,1248
Oppenheimer Holdings Inc.,OPY,Financials,Investment Services,NO,NO,United States,United States,OPY
Ormat Technologies Inc.,ORA,Utilities,Alternative Electricity,NO,NO,United States,United States,ORA
Orbital Sciences Corp.,ORB,Industrials,Defense,NO,NO,United States,United States,ORB
Old Republic International Corp.,ORI,Financials,Property and Casualty Insurance,NO,NO,United States,United States,ORI
Orion Marine Group Inc.,ORN,Industrials,Heavy Construction,NO,NO,United States,United States,ORN
Overseas Shipholding Group Inc.,OSG,Industrials,Marine Transportation,NO,NO,United States,United States,OSG
Oshkosh Corp.,OSK,Industrials,Commerical Vehicles and Trucks,NO,NO,United States,United States,OSK
Orbitz Worldwide Inc.,OWW,Consumer Services,Travel and Tourism,NO,NO,United States,United States,OWW
Oxford Industries Inc.,OXM,Consumer Goods,Clothing and Accessories,NO,NO,United States,United States,OXM
Occidental Petroleum Corp.,OXY,Oil and Gas,Exploration and Production,YES,NO,United States,United States,OXY
Pandora Media Inc.,P,Consumer Services,undefined,NO,NO,United States,United States,1259
Grupo Aeroportuario del Pacifico S.A.B. de C.,PAC,Industrials,Transportation Services,NO,NO,Mexico,Latin America,PAC
Pacific Drilling S.A.,PACD,Basic Materials,Oil Equipment and Services,NO,NO,United States,United States,1261
Penske Automotive Group Inc.,PAG,Consumer Services,Specialty Retailers,NO,NO,United States,United States,PAG
Pampa Energia S.A.,PAM,Utilities,Conventional Electricity,NO,NO,Argentina,Latin America,PAM
3PAR Inc.,PAR,Industrials,Business Support Services,NO,NO,United States,United States,PAR
VeriFone Holdings Inc.,PAY,Technology,Computer Hardware,NO,NO,United States,United States,PAY
Prestige Brands Holdings Inc.,PBH,Health Care,Pharmaceuticals,NO,NO,United States,United States,PBH
Pitney Bowes Inc.,PBI,Technology,Electronic Office Equipment,YES,NO,United States,United States,PBI
Petroleo Brasileiro S-A,PBR,Oil and Gas,Integrated Oil and Gas,NO,NO,Brazil,Latin America,PBR
Pep Boys-Manny Moe & Jack,PBY,Consumer Services,Specialty Retailers,NO,NO,United States,United States,PBY
Panasonic Corp.,PC,Consumer Goods,Consumer Electronics,NO,NO,Japan,Asia-Pacific,PC
PG&E Corp.,PCG,Utilities,Conventional Electricity,YES,NO,United States,United States,PCG
Plum Creek Timber Co. Inc. REIT,PCL,Financials,Specialty Real Estate Investment Trusts,YES,NO,United States,United States,PCL
Precision Castparts Corp.,PCP,Industrials,Aerospace,YES,NO,United States,United States,PCP
MetroPCS Communications Inc.,PCS,Telecommunications,Mobile Telecommunications,YES,NO,United States,United States,PCS
Patriot Coal Corp.,PCX,Basic Materials,Coal,NO,NO,United States,United States,PCX
Piedmont Office Realty Trust Inc. Cl A,PDM,Financials,undefined,NO,NO,United States,United States,1276
Precision Drilling Trust,PDS,Oil and Gas,Oil Equipment and Services,NO,NO,Canada,Canada,PDS
Pebblebrook Hotel Trust,PEB,Financials,Real Estate,NO,NO,United States,United States,PEB
Public Service Enterprise Group Inc.,PEG,Utilities,Conventional Electricity,YES,NO,United States,United States,PEG
Pennsylvania Real Estate Investment Trust,PEI,Financials,Retail Real Estate Investment Trusts,NO,NO,United States,United States,PEI
PepsiCo Inc.,PEP,Consumer Goods,Soft Drinks,YES,NO,United States,United States,PEP
Pfizer Inc.,PFE,Health Care,Pharmaceuticals,YES,YES,United States,United States,PFE
Principal Financial Group Inc.,PFG,Financials,Life Insurance,YES,NO,United States,United States,PFG
Provident Financial Services Inc.,PFS,Financials,Banks,NO,NO,United States,United States,PFS
Procter & Gamble Co.,PG,Consumer Goods,Nondurable Household Products,YES,YES,United States,United States,PG
Premiere Global Services Inc.,PGI,Technology,Software,NO,NO,United States,United States,PGI
Progress Energy Inc.,PGN,Utilities,Conventional Electricity,YES,NO,United States,United States,PGN
Progressive Corp.,PGR,Financials,Property and Casualty Insurance,YES,NO,United States,United States,PGR
Parker Hannifin Corp.,PH,Industrials,Industrial Machinery,YES,NO,United States,United States,PH
Koninklijke Philips Electronics N.V.,PHG,Consumer Goods,Consumer Electronics,NO,NO,Netherlands,Europe,PHG
PHH Corp.,PHH,Industrials,Transportation Services,NO,NO,United States,United States,PHH
Philippine Long Distance Telephone Co.,PHI,Telecommunications,Mobile Telecommunications,NO,NO,Philippines,Asia-Pacific,PHI
Pulte Homes Inc.,PHM,Consumer Goods,Home Construction,YES,NO,United States,United States,PHM
Panhandle Oil & Gas Inc.,PHX,Oil and Gas,Exploration and Production,NO,NO,United States,United States,PHX
Polaris Industries Inc.,PII,Consumer Goods,Recreational Products,NO,NO,United States,United States,PII
Pike Electric Corp.,PIKE,Industrials,Heavy Construction,NO,NO,United States,United States,PIKE
Pier 1 Imports Inc.,PIR,Consumer Services,Home Improvement Retailers,NO,NO,United States,United States,PIR
Piper Jaffray Cos.,PJC,Financials,Investment Services,NO,NO,United States,United States,PJC
Parker Drilling Co.,PKD,Oil and Gas,Oil Equipment and Services,NO,NO,United States,United States,PKD
Park Electrochemical Corp.,PKE,Industrials,Electrical Components and Equipment,NO,NO,United States,United States,PKE
Packaging Corp. of America,PKG,Industrials,Containers and Packaging,NO,NO,United States,United States,PKG
PerkinElmer Inc.,PKI,Industrials,Electronic Equipment,YES,NO,United States,United States,PKI
POSCO,PKX,Basic Materials,Iron and Steel,NO,NO,South Korea,Asia-Pacific,PKX
Parkway Properties Inc.,PKY,Financials,Industrial and Office Real Estate Investment Trusts,NO,NO,United States,United States,PKY
Protective Life Corp.,PL,Financials,Life Insurance,NO,NO,United States,United States,PL
ProLogis,PLD,Financials,Industrial and Office Real Estate Investment Trusts,YES,NO,United States,United States,PLD
Pall Corp.,PLL,Industrials,Industrial Machinery,YES,NO,United States,United States,PLL
Douglas Dynamics Inc.,PLOW,Industrials,undefined,NO,NO,United States,United States,1308
Plantronics Inc.,PLT,Technology,Telecommunications Equipment,NO,NO,United States,United States,PLT
Philip Morris International Inc.,PM,Consumer Goods,Tobacco,YES,NO,United States,United States,PM
PharMerica Corp.,PMC,Health Care,Health Care Providers,NO,NO,United States,United States,PMC
PennyMac Mortgage Investment Trust,PMT,Financials,Mortgage Real Estate Investment Trusts,NO,NO,United States,United States,PMT
PNC Financial Services Group Inc.,PNC,Financials,Banks,YES,NO,United States,United States,PNC
Pinnacle Entertainment Inc.,PNK,Consumer Services,Gambling,NO,NO,United States,United States,PNK
PNM Resources Inc.,PNM,Utilities,Multiutilities,NO,NO,United States,United States,PNM
